timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-03-26 07:37:17,0,5.40,91.12,31733.8,0.29,21.9MB / 5.14MB,25.4MB / 22.2MB
2026-03-26 07:37:30,0,5.70,90.46,31733.8,0.29,23.7MB / 5.23MB,25.4MB / 24.4MB
2026-03-26 07:37:44,0,5.79,90.88,31733.8,0.29,24.1MB / 5.26MB,25.4MB / 31.1MB
2026-03-26 07:37:58,0,5.85,91.26,31733.8,0.29,24.4MB / 5.29MB,25.4MB / 31.4MB
2026-03-26 07:38:10,0,6.02,91.87,31733.8,0.29,25.4MB / 5.35MB,25.4MB / 34.7MB
2026-03-26 07:38:23,1,6.98,91.78,31733.8,0.29,31.6MB / 5.59MB,25.4MB / 42.8MB
2026-03-26 07:38:37,1,7.01,91.71,31733.8,0.29,31.8MB / 5.62MB,25.4MB / 43MB
2026-03-26 07:38:51,1,7.06,91.36,31733.8,0.29,32.1MB / 5.65MB,25.4MB / 43.3MB
2026-03-26 07:39:04,1,7.14,91.52,31733.8,0.29,32.5MB / 5.68MB,25.4MB / 50.5MB
2026-03-26 07:39:20,2,7.21,92.18,31733.8,0.29,32.9MB / 5.72MB,25.4MB / 57.6MB
2026-03-26 07:39:34,2,7.25,92.07,31733.8,0.29,33.2MB / 5.75MB,25.4MB / 57.9MB
2026-03-26 07:39:49,2,7.27,92.2,31733.8,0.29,33.4MB / 5.77MB,25.4MB / 58MB
2026-03-26 07:40:03,2,7.31,92.37,31733.8,0.29,33.7MB / 5.81MB,25.4MB / 76.6MB
2026-03-26 07:40:27,3,7.32,92.95,31733.8,0.29,33.8MB / 5.83MB,25.4MB / 76.6MB
2026-03-26 07:40:41,3,7.36,92.37,31733.8,0.29,34.1MB / 5.86MB,25.4MB / 76.9MB
2026-03-26 07:40:55,3,7.39,92.51,31733.8,0.29,34.3MB / 5.88MB,25.4MB / 77MB
2026-03-26 07:41:09,3,7.41,92.88,31733.8,0.29,34.5MB / 5.91MB,25.4MB / 79.9MB
2026-03-26 07:41:24,4,7.44,93.03,31733.8,0.29,34.6MB / 5.93MB,25.4MB / 80MB
2026-03-26 07:41:39,4,7.46,93.12,31733.8,0.29,34.8MB / 5.95MB,25.4MB / 81.5MB
2026-03-26 07:41:54,4,7.48,93,31733.8,0.29,35MB / 5.98MB,25.4MB / 82.5MB
2026-03-26 07:42:11,4,7.50,93.1,31733.8,0.29,35.2MB / 6MB,25.4MB / 87.1MB
2026-03-26 07:42:27,5,7.53,93.45,31733.8,0.29,35.3MB / 6.02MB,25.4MB / 101MB
2026-03-26 07:42:45,5,7.53,93.52,31733.8,0.29,35.4MB / 6.04MB,25.4MB / 101MB
2026-03-26 07:43:07,5,7.55,93.61,31733.8,0.30,35.5MB / 6.06MB,25.4MB / 102MB
2026-03-26 07:43:25,6,7.56,93.71,31733.8,0.30,35.7MB / 6.08MB,25.4MB / 102MB
2026-03-26 07:43:42,6,7.59,93.54,31733.8,0.29,35.9MB / 6.1MB,25.4MB / 108MB
2026-03-26 07:44:00,6,7.59,93.59,31733.8,0.29,35.9MB / 6.11MB,25.4MB / 108MB
2026-03-26 07:44:20,7,7.60,93.67,31733.8,0.30,36.1MB / 6.13MB,25.4MB / 109MB
2026-03-26 07:44:37,7,7.60,93.98,31733.8,0.30,36.1MB / 6.14MB,25.4MB / 109MB
2026-03-26 07:44:55,7,7.63,93.8,31733.8,0.30,36.2MB / 6.16MB,25.4MB / 127MB
2026-03-26 07:45:16,7,7.64,94.12,31733.8,0.30,36.3MB / 6.18MB,25.4MB / 127MB
2026-03-26 07:45:37,8,7.65,93.92,31733.8,0.30,36.4MB / 6.19MB,25.4MB / 129MB
2026-03-26 07:45:57,8,7.65,94.22,31733.8,0.30,36.5MB / 6.21MB,25.4MB / 129MB
2026-03-26 07:46:24,9,7.67,94.28,31733.8,0.30,36.6MB / 6.23MB,25.4MB / 147MB
2026-03-26 07:46:47,9,7.67,94.07,31733.8,0.30,36.7MB / 6.24MB,25.4MB / 147MB
2026-03-26 07:47:08,9,7.67,94.36,31733.8,0.30,36.7MB / 6.25MB,25.4MB / 147MB
2026-03-26 07:47:39,10,7.66,94.16,31733.8,0.30,36.8MB / 6.29MB,25.4MB / 165MB
2026-03-26 07:49:08,11,7.63,94.45,31733.8,0.30,36.9MB / 6.32MB,25.4MB / 165MB
2026-03-26 07:49:29,12,7.63,94.48,31733.8,0.30,36.9MB / 6.33MB,25.4MB / 165MB
2026-03-26 07:49:53,12,7.65,94.73,31733.8,0.30,37MB / 6.34MB,25.4MB / 183MB
2026-03-26 07:50:21,13,7.65,94.51,31733.8,0.30,37.1MB / 6.36MB,25.4MB / 183MB
2026-03-26 07:51:00,13,7.64,94.3,31733.8,0.30,37.1MB / 6.38MB,25.4MB / 183MB
2026-03-26 07:51:27,14,7.63,94.31,31733.8,0.30,37.1MB / 6.39MB,25.4MB / 183MB
2026-03-26 07:52:08,14,7.63,95.56,31733.8,0.30,37.2MB / 6.42MB,25.4MB / 183MB
2026-03-26 07:52:33,15,7.66,95.01,31733.8,0.30,37.3MB / 6.44MB,25.5MB / 188MB
2026-03-26 07:52:52,15,7.67,95.28,31733.8,0.30,37.3MB / 6.45MB,25.5MB / 188MB
2026-03-26 07:53:13,15,7.69,95.15,31733.8,0.30,37.3MB / 6.46MB,25.5MB / 198MB
2026-03-26 07:53:30,16,7.70,94.9,31733.8,0.30,37.4MB / 6.48MB,25.5MB / 198MB
2026-03-26 07:53:49,16,7.71,95.39,31733.8,0.30,37.4MB / 6.5MB,25.5MB / 198MB
2026-03-26 07:54:13,16,7.71,94.89,31733.8,0.30,37.4MB / 6.51MB,25.5MB / 198MB
2026-03-26 07:54:33,17,7.72,94.91,31733.8,0.30,37.4MB / 6.53MB,25.5MB / 198MB
2026-03-26 07:54:57,17,7.72,95.14,31733.8,0.30,37.5MB / 6.55MB,25.5MB / 198MB
2026-03-26 07:55:28,18,7.72,95.17,31733.8,0.30,37.5MB / 6.58MB,25.5MB / 198MB
2026-03-26 07:55:54,18,7.73,95.18,31733.8,0.30,37.5MB / 6.6MB,25.5MB / 198MB
2026-03-26 07:56:25,19,7.73,95.18,31733.8,0.30,37.6MB / 6.62MB,25.5MB / 198MB
2026-03-26 07:56:49,19,7.74,94.96,31733.8,0.30,37.6MB / 6.63MB,25.5MB / 198MB
2026-03-26 07:57:10,19,7.74,94.95,31733.8,0.30,37.6MB / 6.66MB,25.5MB / 198MB
2026-03-26 07:57:43,20,7.73,94.95,31733.8,0.30,37.7MB / 6.68MB,25.5MB / 198MB
2026-03-26 07:58:17,21,7.74,95.24,31733.8,0.30,37.7MB / 6.71MB,25.5MB / 198MB
2026-03-26 07:58:50,21,7.74,95.25,31733.8,0.30,37.8MB / 6.75MB,25.5MB / 198MB
2026-03-26 07:59:23,22,7.74,95.26,31733.8,0.30,37.8MB / 6.79MB,25.5MB / 198MB
2026-03-26 08:00:14,22,7.72,95.29,31733.8,0.30,37.9MB / 6.85MB,25.5MB / 198MB
2026-03-26 08:01:04,23,7.60,95.08,31733.8,0.30,38.1MB / 6.93MB,25.5MB / 198MB
2026-03-26 08:03:07,25,7.55,95.1,31733.8,0.30,38.2MB / 6.99MB,25.5MB / 198MB
2026-03-26 08:03:58,26,7.50,95.12,31733.8,0.30,38.2MB / 7.04MB,25.5MB / 198MB
2026-03-26 08:04:50,27,7.46,95.9,31733.8,0.30,38.3MB / 7.1MB,25.5MB / 198MB
2026-03-26 08:05:54,28,7.44,95.92,31733.8,0.30,38.4MB / 7.16MB,25.5MB / 198MB
2026-03-26 08:06:57,29,7.39,95.7,31733.8,0.30,38.5MB / 7.22MB,25.5MB / 198MB
2026-03-26 08:07:47,30,7.37,95.73,31733.8,0.30,38.6MB / 7.28MB,25.5MB / 198MB
2026-03-26 08:08:41,31,7.36,95.26,31733.8,0.30,38.7MB / 7.32MB,25.5MB / 198MB
2026-03-26 08:09:29,32,7.34,95.28,31733.8,0.30,38.8MB / 7.39MB,25.5MB / 198MB
2026-03-26 08:10:31,33,7.31,95.3,31733.8,0.30,38.9MB / 7.47MB,25.5MB / 198MB
2026-03-26 08:11:48,34,7.29,95.32,31733.8,0.30,39.1MB / 7.55MB,25.5MB / 198MB
2026-03-26 08:13:15,35,7.26,96.62,31733.8,0.30,39.2MB / 7.62MB,25.5MB / 198MB
2026-03-26 08:14:15,36,7.23,95.37,31733.8,0.30,39.3MB / 7.67MB,25.5MB / 198MB
2026-03-26 08:15:07,37,7.14,95.43,31733.8,0.30,39.4MB / 7.78MB,25.5MB / 198MB
2026-03-26 08:17:49,40,7.00,95.7,31733.8,0.30,39.6MB / 7.89MB,25.5MB / 198MB
2026-03-26 08:20:31,43,7.00,95.46,31733.8,0.30,39.7MB / 7.94MB,25.5MB / 198MB
2026-03-26 08:21:22,44,7.00,95.48,31733.8,0.30,39.7MB / 7.98MB,25.5MB / 198MB
2026-03-26 08:22:14,44,7.00,95.48,31733.8,0.30,39.8MB / 8.04MB,25.5MB / 198MB
2026-03-26 08:23:14,45,6.99,96,31733.8,0.30,39.9MB / 8.08MB,25.5MB / 198MB
2026-03-26 08:24:06,46,6.97,95.52,31733.8,0.30,40MB / 8.13MB,25.5MB / 198MB
2026-03-26 08:25:00,47,6.95,97.02,31733.8,0.31,40MB / 8.19MB,25.5MB / 198MB
2026-03-26 08:25:58,48,6.91,95.55,31733.8,0.30,40.1MB / 8.25MB,25.5MB / 198MB
2026-03-26 08:27:06,49,6.90,95.83,31733.8,0.30,40.2MB / 8.3MB,25.5MB / 198MB
2026-03-26 08:28:02,50,6.89,96.06,31733.8,0.30,40.2MB / 8.32MB,25.5MB / 198MB
2026-03-26 08:28:17,51,6.88,95.58,31733.8,0.30,40.3MB / 8.33MB,25.5MB / 198MB
2026-03-26 08:28:32,51,6.87,96.07,31733.8,0.30,40.3MB / 8.35MB,25.5MB / 198MB
2026-03-26 08:28:47,51,6.87,96.07,31733.8,0.30,40.3MB / 8.36MB,25.5MB / 198MB
2026-03-26 08:29:02,51,6.87,95.59,31733.8,0.30,40.3MB / 8.37MB,25.5MB / 198MB
2026-03-26 08:29:18,52,6.86,96.06,31733.8,0.30,40.3MB / 8.39MB,25.5MB / 198MB
2026-03-26 08:29:34,52,6.85,95.59,31733.8,0.30,40.4MB / 8.4MB,25.5MB / 198MB
2026-03-26 08:29:50,52,6.85,96.57,31733.8,0.30,40.4MB / 8.41MB,25.5MB / 198MB
2026-03-26 08:30:02,52,6.85,96.11,31733.8,0.30,40.4MB / 8.43MB,25.5MB / 198MB
2026-03-26 08:30:16,52,6.85,96.1,31733.8,0.30,40.4MB / 8.44MB,25.5MB / 198MB
2026-03-26 08:30:29,53,6.85,95.83,31733.8,0.30,40.4MB / 8.45MB,25.5MB / 198MB
2026-03-26 08:30:42,53,6.85,95.85,31733.8,0.30,40.5MB / 8.46MB,25.5MB / 198MB
2026-03-26 08:30:55,53,6.85,96.36,31733.8,0.30,40.5MB / 8.47MB,25.5MB / 198MB
2026-03-26 08:31:10,53,6.85,96.11,31733.8,0.30,40.5MB / 8.49MB,25.5MB / 198MB
2026-03-26 08:31:24,54,6.85,95.62,31733.8,0.30,40.5MB / 8.5MB,25.5MB / 198MB
2026-03-26 08:31:40,54,6.85,95.87,31733.8,0.30,40.5MB / 8.51MB,25.5MB / 198MB
2026-03-26 08:31:55,54,6.85,95.62,31733.8,0.30,40.6MB / 8.52MB,25.5MB / 198MB
