timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-04-01 10:04:06,0,0.24,78.58MB,34068.5,0.24,150.8kB / 115.7kB,0B / 0B
2026-04-01 10:04:18,0,0.39,83.08MB,34068.5,0.25,4.507MB / 4.508MB,0B / 0B
2026-04-01 10:04:30,0,0.70,83.33MB,34068.5,0.25,15.12MB / 15.21MB,0B / 0B
2026-04-01 10:04:42,0,1.01,83.82MB,34068.5,0.25,25.74MB / 25.92MB,0B / 0B
2026-04-01 10:04:54,0,1.30,83.01MB,34068.5,0.25,36.35MB / 36.63MB,0B / 0B
2026-04-01 10:05:06,1,1.60,83.69MB,34068.5,0.25,46.86MB / 47.23MB,0B / 0B
2026-04-01 10:05:18,1,1.90,83.15MB,34068.5,0.25,57.48MB / 57.93MB,0B / 0B
2026-04-01 10:05:31,1,2.19,84.18MB,34068.5,0.25,68.2MB / 68.64MB,0B / 0B
2026-04-01 10:05:43,1,2.48,83.11MB,34068.5,0.25,78.71MB / 79.34MB,0B / 0B
2026-04-01 10:05:55,1,2.78,83.75MB,34068.5,0.25,89.11MB / 89.84MB,0B / 0B
2026-04-01 10:06:07,2,3.04,83.3MB,34068.5,0.25,99.52MB / 100.3MB,0B / 0B
2026-04-01 10:06:19,2,3.29,83.73MB,34068.5,0.25,109.9MB / 110.8MB,0B / 0B
2026-04-01 10:06:31,2,3.54,83.06MB,34068.5,0.25,120.3MB / 121.3MB,0B / 0B
2026-04-01 10:06:43,2,3.76,83.65MB,34068.5,0.25,130.6MB / 131.7MB,0B / 0B
2026-04-01 10:06:55,2,3.99,83.23MB,34068.5,0.25,141.1MB / 142.3MB,0B / 0B
2026-04-01 10:07:08,3,4.19,83.69MB,34068.5,0.25,151.6MB / 152.9MB,0B / 0B
2026-04-01 10:07:20,3,4.37,84.39MB,34068.5,0.25,162.3MB / 163.6MB,0B / 0B
2026-04-01 10:07:32,3,4.56,83.89MB,34068.5,0.25,172.7MB / 174.1MB,0B / 0B
2026-04-01 10:07:44,3,4.74,85.17MB,34068.5,0.26,183.3MB / 184.8MB,0B / 0B
2026-04-01 10:07:56,3,4.92,84.13MB,34068.5,0.25,193.8MB / 195.4MB,0B / 0B
2026-04-01 10:08:08,4,5.07,84.28MB,34068.5,0.25,204.5MB / 206.2MB,0B / 0B
2026-04-01 10:08:20,4,5.24,84.48MB,34068.5,0.25,215.2MB / 217MB,0B / 0B
2026-04-01 10:08:32,4,5.39,84.84MB,34068.5,0.25,225.8MB / 227.7MB,0B / 0B
2026-04-01 10:08:44,4,5.53,83.81MB,34068.5,0.25,236.4MB / 238.3MB,0B / 0B
2026-04-01 10:08:56,4,5.68,84.51MB,34068.5,0.25,247MB / 249MB,0B / 0B
2026-04-01 10:09:08,5,5.82,84.55MB,34068.5,0.25,257.6MB / 259.7MB,0B / 0B
2026-04-01 10:09:21,5,5.96,84.36MB,34068.5,0.25,268.2MB / 270.3MB,0B / 0B
2026-04-01 10:09:33,5,6.09,84MB,34068.5,0.25,278.7MB / 281MB,0B / 0B
2026-04-01 10:09:45,5,6.23,83.89MB,34068.5,0.25,289.2MB / 291.6MB,0B / 0B
