timestamp,elapsed_min,gc_collected_gen0,gc_collected_gen1,gc_collected_gen2,gc_uncollectable_gen0,gc_uncollectable_gen1,gc_uncollectable_gen2,gc_collections_gen0,gc_collections_gen1,gc_collections_gen2,process_rss_bytes,process_vm_bytes,process_cpu_seconds,open_fds,ccx_received,ccx_failures_ocp,ccx_processed_ocp,ccx_published_ocp,broker_instances,broker_exceptions,broker_tracebacks
2026-04-01 10:04:06,0,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.968192e+07,1.09164544e+09,1.35,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 10:04:18,0,1620.0,837.0,57.0,0.0,0.0,0.0,242.0,21.0,1.0,9.0509312e+07,1.09164544e+09,2.23,29.0,45.0,0.0,44.0,44.0,11.0,0.0,0.0
2026-04-01 10:04:30,0,1725.0,933.0,230.0,0.0,0.0,0.0,243.0,22.0,2.0,9.0509312e+07,1.09164544e+09,4.16,26.0,145.0,0.0,145.0,145.0,11.0,0.0,0.0
2026-04-01 10:04:42,0,2031.0,933.0,230.0,0.0,0.0,0.0,245.0,22.0,2.0,9.0509312e+07,1.092694016e+09,6.07,26.0,245.0,0.0,245.0,245.0,11.0,0.0,0.0
2026-04-01 10:04:54,0,2337.0,933.0,230.0,0.0,0.0,0.0,247.0,22.0,2.0,9.0640384e+07,1.092694016e+09,7.95,26.0,345.0,0.0,345.0,345.0,11.0,0.0,0.0
2026-04-01 10:05:06,1,2490.0,933.0,230.0,0.0,0.0,0.0,248.0,22.0,2.0,9.0640384e+07,1.092694016e+09,9.95,26.0,444.0,0.0,444.0,444.0,11.0,0.0,0.0
2026-04-01 10:05:18,1,2685.0,933.0,230.0,0.0,0.0,0.0,249.0,22.0,2.0,9.0640384e+07,1.092694016e+09,12.05,26.0,545.0,0.0,545.0,545.0,11.0,0.0,0.0
2026-04-01 10:05:31,1,3063.0,933.0,230.0,0.0,0.0,0.0,250.0,22.0,2.0,9.0771456e+07,1.092694016e+09,14.09,26.0,644.0,0.0,644.0,644.0,11.0,0.0,0.0
2026-04-01 10:05:43,1,3441.0,933.0,230.0,0.0,0.0,0.0,251.0,22.0,2.0,9.0771456e+07,1.092694016e+09,16.29,26.0,744.0,0.0,744.0,744.0,11.0,0.0,0.0
2026-04-01 10:05:55,1,3819.0,933.0,230.0,0.0,0.0,0.0,252.0,22.0,2.0,9.0771456e+07,1.092694016e+09,18.59,26.0,842.0,0.0,842.0,842.0,11.0,0.0,0.0
2026-04-01 10:06:07,2,3819.0,933.0,230.0,0.0,0.0,0.0,252.0,22.0,2.0,9.0771456e+07,1.092694016e+09,20.66,29.0,940.0,0.0,939.0,939.0,11.0,0.0,0.0
2026-04-01 10:06:19,2,4152.0,933.0,230.0,0.0,0.0,0.0,253.0,22.0,2.0,9.0771456e+07,1.092694016e+09,22.77,26.0,1038.0,0.0,1038.0,1038.0,11.0,0.0,0.0
2026-04-01 10:06:31,2,4152.0,1311.0,230.0,0.0,0.0,0.0,253.0,23.0,2.0,9.0771456e+07,1.092694016e+09,24.92,26.0,1136.0,0.0,1136.0,1136.0,11.0,0.0,0.0
2026-04-01 10:06:43,2,4530.0,1311.0,230.0,0.0,0.0,0.0,254.0,23.0,2.0,9.0771456e+07,1.092694016e+09,26.91,26.0,1233.0,0.0,1233.0,1233.0,11.0,0.0,0.0
2026-04-01 10:06:55,2,4908.0,1311.0,230.0,0.0,0.0,0.0,255.0,23.0,2.0,9.0771456e+07,1.092694016e+09,28.93,26.0,1332.0,0.0,1332.0,1332.0,11.0,0.0,0.0
2026-04-01 10:07:08,3,4908.0,1311.0,230.0,0.0,0.0,0.0,255.0,23.0,2.0,9.0771456e+07,1.092694016e+09,30.84,26.0,1431.0,0.0,1431.0,1431.0,11.0,0.0,0.0
2026-04-01 10:07:20,3,5286.0,1311.0,230.0,0.0,0.0,0.0,256.0,23.0,2.0,9.0771456e+07,1.092694016e+09,32.72,27.0,1531.0,0.0,1530.0,1530.0,11.0,0.0,0.0
2026-04-01 10:07:32,3,5664.0,1311.0,230.0,0.0,0.0,0.0,257.0,23.0,2.0,9.0771456e+07,1.092694016e+09,34.6,26.0,1629.0,0.0,1629.0,1629.0,11.0,0.0,0.0
2026-04-01 10:07:44,3,6042.0,1311.0,230.0,0.0,0.0,0.0,258.0,23.0,2.0,9.0771456e+07,1.092694016e+09,36.56,26.0,1729.0,0.0,1729.0,1729.0,11.0,0.0,0.0
2026-04-01 10:07:56,3,6420.0,1311.0,230.0,0.0,0.0,0.0,259.0,23.0,2.0,9.0771456e+07,1.092694016e+09,38.5,26.0,1828.0,0.0,1828.0,1828.0,11.0,0.0,0.0
2026-04-01 10:08:08,4,6420.0,1311.0,230.0,0.0,0.0,0.0,259.0,23.0,2.0,9.0771456e+07,1.092694016e+09,40.3,26.0,1929.0,0.0,1929.0,1929.0,11.0,0.0,0.0
2026-04-01 10:08:20,4,6798.0,1311.0,230.0,0.0,0.0,0.0,260.0,23.0,2.0,9.0771456e+07,1.092694016e+09,42.22,26.0,2030.0,0.0,2030.0,2030.0,11.0,0.0,0.0
2026-04-01 10:08:32,4,7191.0,1311.0,230.0,0.0,0.0,0.0,261.0,23.0,2.0,9.0771456e+07,1.092694016e+09,44.010000000000005,27.0,2130.0,0.0,2129.0,2129.0,11.0,0.0,0.0
2026-04-01 10:08:44,4,7191.0,1311.0,230.0,0.0,0.0,0.0,261.0,23.0,2.0,9.0771456e+07,1.092694016e+09,45.839999999999996,26.0,2229.0,0.0,2229.0,2229.0,11.0,0.0,0.0
2026-04-01 10:08:56,4,7692.0,1311.0,230.0,0.0,0.0,0.0,262.0,23.0,2.0,9.0771456e+07,1.092694016e+09,47.690000000000005,26.0,2329.0,0.0,2329.0,2329.0,11.0,0.0,0.0
2026-04-01 10:09:08,5,8196.0,1311.0,230.0,0.0,0.0,0.0,263.0,23.0,2.0,9.0771456e+07,1.092694016e+09,49.54,26.0,2429.0,0.0,2429.0,2429.0,11.0,0.0,0.0
2026-04-01 10:09:21,5,8196.0,1311.0,230.0,0.0,0.0,0.0,263.0,23.0,2.0,9.0771456e+07,1.092694016e+09,51.43,26.0,2529.0,0.0,2529.0,2529.0,11.0,0.0,0.0
2026-04-01 10:09:33,5,8700.0,1311.0,230.0,0.0,0.0,0.0,264.0,23.0,2.0,9.0771456e+07,1.092694016e+09,53.26,26.0,2628.0,0.0,2628.0,2628.0,11.0,0.0,0.0
2026-04-01 10:09:45,5,8700.0,1311.0,230.0,0.0,0.0,0.0,264.0,23.0,2.0,9.0771456e+07,1.092694016e+09,55.18,26.0,2727.0,0.0,2727.0,2727.0,11.0,0.0,0.0
2026-04-01 10:09:57,5,8700.0,1812.0,230.0,0.0,0.0,0.0,264.0,24.0,2.0,9.0771456e+07,1.092694016e+09,57.01,29.0,2827.0,0.0,2826.0,2826.0,11.0,0.0,0.0
2026-04-01 10:10:09,6,8934.0,1812.0,230.0,0.0,0.0,0.0,265.0,24.0,2.0,9.0771456e+07,1.092694016e+09,58.8,26.0,2926.0,0.0,2926.0,2926.0,11.0,0.0,0.0
2026-04-01 10:10:21,6,9438.0,1812.0,230.0,0.0,0.0,0.0,266.0,24.0,2.0,9.0771456e+07,1.092694016e+09,60.87,26.0,3028.0,0.0,3028.0,3028.0,11.0,0.0,0.0
2026-04-01 10:10:33,6,9438.0,1812.0,230.0,0.0,0.0,0.0,266.0,24.0,2.0,9.0771456e+07,1.092694016e+09,62.730000000000004,26.0,3127.0,0.0,3127.0,3127.0,11.0,0.0,0.0
2026-04-01 10:10:45,6,9942.0,1812.0,230.0,0.0,0.0,0.0,267.0,24.0,2.0,9.0771456e+07,1.092694016e+09,64.52000000000001,27.0,3225.0,0.0,3224.0,3224.0,11.0,0.0,0.0
2026-04-01 10:10:57,6,9942.0,1812.0,230.0,0.0,0.0,0.0,267.0,24.0,2.0,9.0771456e+07,1.092694016e+09,66.31,26.0,3324.0,0.0,3324.0,3324.0,11.0,0.0,0.0
2026-04-01 10:11:09,7,10446.0,1812.0,230.0,0.0,0.0,0.0,268.0,24.0,2.0,9.0771456e+07,1.092694016e+09,68.19,29.0,3424.0,0.0,3423.0,3423.0,11.0,0.0,0.0
2026-04-01 10:11:21,7,10725.0,1812.0,230.0,0.0,0.0,0.0,269.0,24.0,2.0,9.0771456e+07,1.092694016e+09,70.03999999999999,29.0,3524.0,0.0,3523.0,3523.0,11.0,0.0,0.0
2026-04-01 10:11:33,7,11025.0,1812.0,230.0,0.0,0.0,0.0,270.0,24.0,2.0,9.0771456e+07,1.092694016e+09,71.84,26.0,3622.0,0.0,3622.0,3622.0,11.0,0.0,0.0
2026-04-01 10:11:45,7,11529.0,1812.0,230.0,0.0,0.0,0.0,271.0,24.0,2.0,9.0771456e+07,1.092694016e+09,73.78999999999999,26.0,3722.0,0.0,3722.0,3722.0,11.0,0.0,0.0
2026-04-01 10:11:57,7,11529.0,1812.0,230.0,0.0,0.0,0.0,271.0,24.0,2.0,9.0771456e+07,1.092694016e+09,75.86,26.0,3820.0,0.0,3820.0,3820.0,11.0,0.0,0.0
2026-04-01 10:12:09,8,12030.0,1812.0,230.0,0.0,0.0,0.0,272.0,24.0,2.0,9.0771456e+07,1.092694016e+09,77.84,26.0,3919.0,0.0,3919.0,3919.0,11.0,0.0,0.0
2026-04-01 10:12:21,8,12030.0,1812.0,230.0,0.0,0.0,0.0,272.0,24.0,2.0,9.0771456e+07,1.092694016e+09,79.75,27.0,4019.0,0.0,4018.0,4018.0,11.0,0.0,0.0
2026-04-01 10:12:34,8,12510.0,1812.0,230.0,0.0,0.0,0.0,273.0,24.0,2.0,9.0771456e+07,1.092694016e+09,81.7,26.0,4118.0,0.0,4118.0,4118.0,11.0,0.0,0.0
2026-04-01 10:12:46,8,13014.0,1812.0,230.0,0.0,0.0,0.0,274.0,24.0,2.0,9.0771456e+07,1.092694016e+09,83.75,26.0,4219.0,0.0,4219.0,4219.0,11.0,0.0,0.0
2026-04-01 10:12:58,8,13014.0,1812.0,230.0,0.0,0.0,0.0,274.0,24.0,2.0,9.0771456e+07,1.092694016e+09,85.71,29.0,4318.0,0.0,4317.0,4317.0,11.0,0.0,0.0
2026-04-01 10:13:10,9,13407.0,1812.0,230.0,0.0,0.0,0.0,275.0,24.0,2.0,9.0771456e+07,1.092694016e+09,87.58000000000001,29.0,4416.0,0.0,4415.0,4415.0,11.0,0.0,0.0
2026-04-01 10:13:22,9,13407.0,2106.0,230.0,0.0,0.0,0.0,275.0,25.0,2.0,9.0771456e+07,1.092694016e+09,89.58,26.0,4516.0,0.0,4516.0,4516.0,11.0,0.0,0.0
2026-04-01 10:13:34,9,13911.0,2106.0,230.0,0.0,0.0,0.0,276.0,25.0,2.0,9.0771456e+07,1.092694016e+09,91.57,26.0,4616.0,0.0,4616.0,4616.0,11.0,0.0,0.0
2026-04-01 10:13:46,9,13911.0,2106.0,230.0,0.0,0.0,0.0,276.0,25.0,2.0,9.0771456e+07,1.092694016e+09,93.44,26.0,4716.0,0.0,4716.0,4716.0,11.0,0.0,0.0
