timestamp,elapsed_min,gc_collected_gen0,gc_collected_gen1,gc_collected_gen2,gc_uncollectable_gen0,gc_uncollectable_gen1,gc_uncollectable_gen2,gc_collections_gen0,gc_collections_gen1,gc_collections_gen2,process_rss_bytes,process_vm_bytes,process_cpu_seconds,open_fds,ccx_received,ccx_failures_ocp,ccx_processed_ocp,ccx_published_ocp,broker_instances,broker_exceptions,broker_tracebacks
2026-04-01 13:23:48,0,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.72,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:24:00,0,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.73,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:24:12,0,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.75,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:24:24,0,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.77,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:24:36,0,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.78,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:24:48,1,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.7999999999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:25:00,1,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.8099999999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:25:11,1,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.82,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:25:23,1,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.84,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:25:35,1,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.86,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:25:47,1,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.87,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:25:59,2,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.88,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:26:11,2,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.89,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:26:22,2,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.91,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:26:34,2,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.9299999999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:26:46,2,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.95,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:26:58,3,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9812992e+07,8.65255424e+08,0.96,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 13:27:10,3,4114.0,1327.0,627.0,0.0,0.0,0.0,246.0,22.0,2.0,9.0206208e+07,8.66304e+08,2.14,21.0,102.0,0.0,102.0,102.0,2.0,0.0,0.0
2026-04-01 13:27:22,3,8279.0,1327.0,627.0,0.0,0.0,0.0,253.0,22.0,2.0,9.0206208e+07,8.66304e+08,3.67,21.0,231.0,0.0,231.0,231.0,2.0,0.0,0.0
2026-04-01 13:27:34,3,11849.0,1922.0,627.0,0.0,0.0,0.0,259.0,23.0,2.0,9.0206208e+07,8.66304e+08,5.12,21.0,351.0,0.0,351.0,351.0,2.0,0.0,0.0
