timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-04-01 13:23:48,0,1.49,108.9MB,34068.5,0.33,28.36kB / 22.74kB,0B / 0B
2026-04-01 13:24:00,0,1.34,111.6MB,34068.5,0.34,33.43kB / 26.89kB,0B / 0B
2026-04-01 13:24:12,0,1.25,111.4MB,34068.5,0.33,38.37kB / 30.96kB,0B / 0B
2026-04-01 13:24:24,0,1.19,111.4MB,34068.5,0.33,43.44kB / 35.12kB,0B / 0B
2026-04-01 13:24:36,0,1.14,111.4MB,34068.5,0.33,48.87kB / 39.5kB,0B / 0B
2026-04-01 13:24:48,1,1.10,111.4MB,34068.5,0.33,54.01kB / 43.49kB,0B / 0B
2026-04-01 13:25:00,1,1.06,111.6MB,34068.5,0.34,59.23kB / 47.65kB,0B / 0B
2026-04-01 13:25:11,1,1.02,111.6MB,34068.5,0.34,64.37kB / 51.81kB,0B / 0B
2026-04-01 13:25:23,1,1.00,111.4MB,34068.5,0.33,69.23kB / 55.87kB,0B / 0B
2026-04-01 13:25:35,1,0.98,111.6MB,34068.5,0.34,74.38kB / 60.25kB,0B / 0B
2026-04-01 13:25:47,1,0.96,111.4MB,34068.5,0.33,79.25kB / 64.25kB,0B / 0B
2026-04-01 13:25:59,2,0.95,111.4MB,34068.5,0.33,84.32kB / 68.4kB,0B / 0B
2026-04-01 13:26:11,2,0.94,111.4MB,34068.5,0.33,89.39kB / 72.56kB,0B / 0B
2026-04-01 13:26:22,2,0.92,111.6MB,34068.5,0.34,94.25kB / 76.56kB,0B / 0B
2026-04-01 13:26:34,2,0.91,111.4MB,34068.5,0.33,99.33kB / 80.71kB,0B / 0B
2026-04-01 13:26:46,2,0.90,111.4MB,34068.5,0.33,104.5kB / 85.09kB,0B / 0B
2026-04-01 13:26:58,3,0.89,111.6MB,34068.5,0.34,109.6kB / 89.25kB,0B / 0B
2026-04-01 13:27:10,3,3.30,113.8MB,34068.5,0.34,29.76MB / 29.88MB,0B / 0B
2026-04-01 13:27:22,3,6.06,113.7MB,34068.5,0.34,66.75MB / 67.03MB,0B / 0B
2026-04-01 13:27:34,3,8.63,114.3MB,34068.5,0.34,101.6MB / 102MB,0B / 0B
2026-04-01 13:27:47,3,11.06,113.9MB,34068.5,0.34,135.8MB / 136.2MB,0B / 0B
2026-04-01 13:27:59,4,13.25,114.9MB,34068.5,0.35,169MB / 169.6MB,0B / 0B
2026-04-01 13:28:12,4,15.30,115.3MB,34068.5,0.35,202.9MB / 203.5MB,0B / 0B
2026-04-01 13:28:24,4,17.16,115.1MB,34068.5,0.35,236.7MB / 237.5MB,0B / 0B
2026-04-01 13:28:37,4,18.95,115.5MB,34068.5,0.35,271.1MB / 272.1MB,0B / 0B
2026-04-01 13:28:49,5,20.58,116.2MB,34068.5,0.35,305.3MB / 306.4MB,0B / 0B
2026-04-01 13:29:02,5,22.07,116.6MB,34068.5,0.35,340.3MB / 341.5MB,0B / 0B
2026-04-01 13:29:14,5,23.46,116.7MB,34068.5,0.35,374.5MB / 375.8MB,0B / 0B
2026-04-01 13:29:27,5,24.79,117.2MB,34068.5,0.35,408.7MB / 410.2MB,0B / 0B
2026-04-01 13:29:39,5,26.01,117.5MB,34068.5,0.35,442.6MB / 444.2MB,0B / 0B
2026-04-01 13:29:52,6,27.14,117.7MB,34068.5,0.35,476.3MB / 478.1MB,0B / 0B
2026-04-01 13:30:04,6,28.21,118.7MB,34068.5,0.36,511.2MB / 513.1MB,0B / 0B
2026-04-01 13:30:17,6,29.22,118.1MB,34068.5,0.36,546MB / 548MB,0B / 0B
2026-04-01 13:30:29,6,30.21,94.68MB,34068.5,0.28,579.5MB / 581.5MB,0B / 0B
2026-04-01 13:30:42,6,31.10,94.43MB,34068.5,0.28,612.4MB / 614.6MB,0B / 0B
2026-04-01 13:30:54,7,31.94,94.85MB,34068.5,0.29,646MB / 648.4MB,0B / 0B
2026-04-01 13:31:07,7,32.72,95.01MB,34068.5,0.29,678MB / 680.4MB,0B / 0B
2026-04-01 13:31:19,7,33.47,95.55MB,34068.5,0.29,711.9MB / 714.5MB,0B / 0B
2026-04-01 13:31:32,7,34.17,96.48MB,34068.5,0.29,745.2MB / 747.8MB,0B / 0B
2026-04-01 13:31:45,7,34.88,96.37MB,34068.5,0.29,778.4MB / 781.2MB,0B / 0B
2026-04-01 13:31:57,8,35.55,95.85MB,34068.5,0.29,812MB / 814.9MB,0B / 0B
2026-04-01 13:32:10,8,36.20,96.46MB,34068.5,0.29,846.2MB / 849.2MB,0B / 0B
2026-04-01 13:32:22,8,36.78,96.59MB,34068.5,0.29,880.7MB / 883.8MB,0B / 0B
2026-04-01 13:32:35,8,37.35,97.27MB,34068.5,0.29,915MB / 918.2MB,0B / 0B
2026-04-01 13:32:47,8,37.90,97.78MB,34068.5,0.29,948.7MB / 952.1MB,0B / 0B
2026-04-01 13:33:00,9,38.40,97.4MB,34068.5,0.29,983.3MB / 986.8MB,0B / 0B
2026-04-01 13:33:12,9,38.91,97.99MB,34068.5,0.29,1.018GB / 1.021GB,0B / 0B
2026-04-01 13:33:25,9,39.38,99.12MB,34068.5,0.30,1.051GB / 1.055GB,0B / 0B
2026-04-01 13:33:37,9,39.85,98.22MB,34068.5,0.30,1.085GB / 1.089GB,0B / 0B
2026-04-01 13:33:50,10,40.28,98.93MB,34068.5,0.30,1.12GB / 1.124GB,0B / 0B
2026-04-01 13:34:03,10,40.72,99.16MB,34068.5,0.30,1.154GB / 1.158GB,0B / 0B
2026-04-01 13:34:15,10,41.14,98.48MB,34068.5,0.30,1.188GB / 1.192GB,0B / 0B
2026-04-01 13:34:28,10,41.54,100.1MB,34068.5,0.30,1.223GB / 1.227GB,0B / 0B
2026-04-01 13:34:40,10,41.93,99.73MB,34068.5,0.30,1.256GB / 1.261GB,0B / 0B
2026-04-01 13:34:53,11,42.31,99.89MB,34068.5,0.30,1.29GB / 1.295GB,0B / 0B
2026-04-01 13:35:06,11,42.66,100.3MB,34068.5,0.30,1.325GB / 1.329GB,0B / 0B
2026-04-01 13:35:18,11,43.01,100.7MB,34068.5,0.30,1.359GB / 1.364GB,0B / 0B
