timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-04-01 11:41:51,0,8.72,110.4MB,34068.5,0.33,8.088MB / 8.15MB,8.192kB / 0B
2026-04-01 11:42:03,0,11.52,112.6MB,34068.5,0.34,18.6MB / 18.75MB,8.192kB / 0B
2026-04-01 11:42:15,0,12.68,113.6MB,34068.5,0.34,29.21MB / 29.45MB,8.192kB / 0B
2026-04-01 11:42:27,0,13.44,113.9MB,34068.5,0.34,39.83MB / 40.16MB,8.192kB / 0B
2026-04-01 11:42:39,0,13.89,113.4MB,34068.5,0.34,50.23MB / 50.65MB,8.192kB / 0B
2026-04-01 11:42:51,1,14.31,113.9MB,34068.5,0.34,60.74MB / 61.25MB,8.192kB / 0B
2026-04-01 11:43:03,1,14.55,113.8MB,34068.5,0.34,71.15MB / 71.74MB,8.192kB / 0B
2026-04-01 11:43:15,1,14.74,113.9MB,34068.5,0.34,81.55MB / 82.24MB,8.192kB / 0B
2026-04-01 11:43:27,1,14.89,113.4MB,34068.5,0.34,91.95MB / 92.73MB,8.192kB / 0B
2026-04-01 11:43:39,1,15.06,114.1MB,34068.5,0.34,102.5MB / 103.2MB,8.192kB / 0B
2026-04-01 11:43:51,2,15.12,113.7MB,34068.5,0.34,113MB / 113.9MB,8.192kB / 0B
2026-04-01 11:44:02,2,15.23,113.5MB,34068.5,0.34,123.5MB / 124.5MB,8.192kB / 0B
2026-04-01 11:44:14,2,15.27,113.7MB,34068.5,0.34,134MB / 135.1MB,8.192kB / 0B
2026-04-01 11:44:26,2,15.34,114.3MB,34068.5,0.34,144.5MB / 145.7MB,8.192kB / 0B
2026-04-01 11:44:38,2,15.38,113.6MB,34068.5,0.34,155MB / 156.3MB,8.192kB / 0B
2026-04-01 11:44:51,3,15.40,113.6MB,34068.5,0.34,165.5MB / 166.9MB,8.192kB / 0B
2026-04-01 11:45:02,3,15.49,113.8MB,34068.5,0.34,175.9MB / 177.4MB,8.192kB / 0B
2026-04-01 11:45:14,3,15.53,114.1MB,34068.5,0.34,186.4MB / 188MB,8.192kB / 0B
