timestamp,elapsed_min,vm_size_kb,vm_rss_kb,vm_data_kb,vm_stk_kb,cgroup_mem_bytes
2026-04-01 14:52:32,0,136351744
2026-04-01 14:52:44,0,136544256
2026-04-01 14:52:55,0,136609792
2026-04-01 14:53:07,0,136536064
2026-04-01 14:53:19,0,136708096
2026-04-01 14:53:31,0,137244672
2026-04-01 14:53:44,1,138035200
2026-04-01 14:53:56,1,138272768
2026-04-01 14:54:08,1,138199040
2026-04-01 14:54:21,1,138465280
2026-04-01 14:54:33,2,139116544
2026-04-01 14:54:46,2,139771904
2026-04-01 14:54:58,2,139550720
2026-04-01 14:55:11,2,139833344
2026-04-01 14:55:23,2,140414976
2026-04-01 14:55:36,3,140222464
2026-04-01 14:55:49,3,140132352
2026-04-01 14:56:01,3,140865536
2026-04-01 14:56:13,3,141131776
2026-04-01 14:56:26,3,141496320
2026-04-01 14:56:38,4,134819840
2026-04-01 14:56:51,4,133099520
2026-04-01 14:57:03,4,132767744
2026-04-01 14:57:16,4,130060288
2026-04-01 14:57:28,4,122888192
2026-04-01 14:57:41,5,123023360
2026-04-01 14:57:53,5,123043840
2026-04-01 14:58:05,5,123531264
2026-04-01 14:58:18,5,124030976
2026-04-01 14:58:30,5,124616704
2026-04-01 14:58:43,6,123486208
2026-04-01 14:58:55,6,124735488
2026-04-01 14:59:07,6,124538880
2026-04-01 14:59:20,6,125222912
2026-04-01 14:59:32,7,125059072
2026-04-01 14:59:44,7,125214720
2026-04-01 14:59:57,7,125300736
2026-04-01 15:00:09,7,125456384
2026-04-01 15:00:21,7,125247488
2026-04-01 15:00:34,8,125792256
2026-04-01 15:00:46,8,126361600
2026-04-01 15:00:58,8,125755392
2026-04-01 15:01:11,8,126615552
2026-04-01 15:01:23,8,126517248
2026-04-01 15:01:35,9,126930944
2026-04-01 15:01:48,9,127086592
2026-04-01 15:02:00,9,127209472
2026-04-01 15:02:12,9,127533056
2026-04-01 15:02:25,9,127647744
2026-04-01 15:02:37,10,127631360
2026-04-01 15:02:50,10,128241664
2026-04-01 15:03:02,10,128102400
2026-04-01 15:03:14,10,128176128
2026-04-01 15:03:27,10,128208896
2026-04-01 15:03:39,11,127979520
2026-04-01 15:03:51,11,128647168
2026-04-01 15:04:04,11,128823296
2026-04-01 15:04:16,11,128847872
2026-04-01 15:04:29,11,129388544
2026-04-01 15:04:41,12,129998848
2026-04-01 15:04:54,12,129916928
2026-04-01 15:05:06,12,129798144
2026-04-01 15:05:18,12,130179072
2026-04-01 15:05:31,12,130506752
2026-04-01 15:05:44,13,131092480
2026-04-01 15:05:57,13,130797568
2026-04-01 15:06:09,13,131375104
2026-04-01 15:06:22,13,131584000
2026-04-01 15:06:34,14,131268608
2026-04-01 15:06:47,14,131772416
2026-04-01 15:06:59,14,132104192
2026-04-01 15:07:12,14,131932160
2026-04-01 15:07:25,14,132599808
2026-04-01 15:07:37,15,132562944
2026-04-01 15:07:50,15,133197824
2026-04-01 15:08:02,15,133079040
2026-04-01 15:08:15,15,133373952
2026-04-01 15:08:28,15,133435392
2026-04-01 15:08:40,16,134557696
2026-04-01 15:08:53,16,134000640
2026-04-01 15:09:06,16,133660672
2026-04-01 15:09:18,16,134582272
2026-04-01 15:09:31,16,134815744
2026-04-01 15:09:43,17,134672384
2026-04-01 15:09:56,17,136003584
2026-04-01 15:10:08,17,135884800
2026-04-01 15:10:21,17,135921664
2026-04-01 15:10:33,18,135942144
2026-04-01 15:10:46,18,135565312
2026-04-01 15:10:59,18,136220672
2026-04-01 15:11:12,18,137248768
2026-04-01 15:11:24,18,136863744
