timestamp,elapsed_min,vm_size_kb,vm_rss_kb,vm_data_kb,vm_stk_kb,cgroup_mem_bytes
2026-04-01 14:52:32,0,136036352
2026-04-01 14:52:44,0,136351744
2026-04-01 14:52:55,0,136146944
2026-04-01 14:53:07,0,136007680
2026-04-01 14:53:19,0,135999488
2026-04-01 14:53:31,0,136691712
2026-04-01 14:53:44,1,136794112
2026-04-01 14:53:56,1,136466432
2026-04-01 14:54:08,1,137043968
2026-04-01 14:54:21,1,136933376
2026-04-01 14:54:33,2,136810496
2026-04-01 14:54:46,2,136851456
2026-04-01 14:54:58,2,137404416
2026-04-01 14:55:11,2,137912320
2026-04-01 14:55:23,2,136540160
2026-04-01 14:55:36,3,136781824
2026-04-01 14:55:49,3,137129984
2026-04-01 14:56:01,3,137043968
2026-04-01 14:56:13,3,137584640
2026-04-01 14:56:26,3,137265152
2026-04-01 14:56:38,4,133013504
2026-04-01 14:56:51,4,129789952
2026-04-01 14:57:03,4,129236992
2026-04-01 14:57:16,4,125337600
2026-04-01 14:57:28,4,118804480
2026-04-01 14:57:41,5,118829056
2026-04-01 14:57:53,5,117985280
2026-04-01 14:58:05,5,119132160
2026-04-01 14:58:18,5,118706176
2026-04-01 14:58:30,5,118919168
2026-04-01 14:58:43,6,118571008
2026-04-01 14:58:55,6,118116352
2026-04-01 14:59:07,6,118792192
2026-04-01 14:59:20,6,119320576
2026-04-01 14:59:32,7,119234560
2026-04-01 14:59:44,7,118956032
2026-04-01 14:59:57,7,118784000
2026-04-01 15:00:09,7,118304768
2026-04-01 15:00:21,7,118657024
2026-04-01 15:00:34,8,118816768
2026-04-01 15:00:46,8,118996992
2026-04-01 15:00:58,8,119238656
2026-04-01 15:01:11,8,119537664
2026-04-01 15:01:23,8,118882304
2026-04-01 15:01:35,9,119132160
2026-04-01 15:01:48,9,119160832
2026-04-01 15:02:00,9,118874112
2026-04-01 15:02:12,9,119242752
2026-04-01 15:02:25,9,118927360
2026-04-01 15:02:37,10,118935552
2026-04-01 15:02:50,10,119435264
2026-04-01 15:03:02,10,119410688
2026-04-01 15:03:14,10,119558144
2026-04-01 15:03:27,10,119705600
2026-04-01 15:03:39,11,119160832
2026-04-01 15:03:51,11,119840768
2026-04-01 15:04:04,11,118902784
2026-04-01 15:04:16,11,119463936
2026-04-01 15:04:29,11,118939648
2026-04-01 15:04:41,12,119635968
2026-04-01 15:04:54,12,119283712
2026-04-01 15:05:06,12,118960128
2026-04-01 15:05:18,12,119414784
2026-04-01 15:05:31,12,120041472
2026-04-01 15:05:44,13,119422976
