timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-05-18 15:19:42,0,0.67,93.17MB,34068.5,0.28,71.58kB / 60.09kB,0B / 0B
2026-05-18 15:19:54,0,0.68,96.76MB,34068.5,0.29,77.1kB / 65.03kB,0B / 0B
2026-05-18 15:20:06,0,0.69,96.76MB,34068.5,0.29,82.41kB / 69.91kB,0B / 0B
2026-05-18 15:20:18,0,0.70,96.51MB,34068.5,0.29,87.72kB / 74.78kB,0B / 0B
2026-05-18 15:20:30,0,0.71,96.51MB,34068.5,0.29,92.83kB / 79.5kB,0B / 0B
2026-05-18 15:20:42,1,0.71,96.51MB,34068.5,0.29,98.14kB / 84.37kB,0B / 0B
2026-05-18 15:20:54,1,4.32,128MB,34068.5,0.38,8.524MB / 407.7kB,0B / 0B
2026-05-18 15:21:06,1,8.10,128.4MB,34068.5,0.39,18.95MB / 805.8kB,0B / 0B
2026-05-18 15:21:18,1,11.27,128.6MB,34068.5,0.39,29.37MB / 1.206MB,0B / 0B
2026-05-18 15:21:30,1,13.97,129MB,34068.5,0.39,39.9MB / 1.608MB,0B / 0B
2026-05-18 15:21:42,2,16.39,128.7MB,34068.5,0.39,50.01MB / 1.997MB,0B / 0B
2026-05-18 15:21:54,2,18.59,129.8MB,34068.5,0.39,60.54MB / 2.399MB,0B / 0B
2026-05-18 15:22:06,2,20.67,130MB,34068.5,0.39,70.86MB / 2.795MB,0B / 0B
2026-05-18 15:22:18,2,22.76,129.5MB,34068.5,0.39,81.39MB / 3.198MB,0B / 0B
2026-05-18 15:22:30,2,24.36,129.6MB,34068.5,0.39,91.7MB / 3.591MB,0B / 0B
2026-05-18 15:22:42,3,26.17,129.5MB,34068.5,0.39,102.2MB / 3.995MB,0B / 0B
2026-05-18 15:22:54,3,27.62,130MB,34068.5,0.39,112.8MB / 4.397MB,0B / 0B
2026-05-18 15:23:06,3,29.04,129.8MB,34068.5,0.39,123.3MB / 4.801MB,0B / 0B
2026-05-18 15:23:18,3,30.29,129.4MB,34068.5,0.39,133.5MB / 5.194MB,0B / 0B
2026-05-18 15:23:30,3,31.57,130MB,34068.5,0.39,144MB / 5.596MB,0B / 0B
2026-05-18 15:23:42,4,32.59,129.8MB,34068.5,0.39,154.5MB / 5.995MB,0B / 0B
2026-05-18 15:23:54,4,33.65,130.1MB,34068.5,0.39,164.9MB / 6.392MB,0B / 0B
2026-05-18 15:24:06,4,34.71,130.6MB,34068.5,0.39,175.4MB / 6.796MB,0B / 0B
2026-05-18 15:24:18,4,35.65,129.7MB,34068.5,0.39,185.9MB / 7.199MB,0B / 0B
2026-05-18 15:24:30,4,36.56,130.6MB,34068.5,0.39,196.4MB / 7.598MB,0B / 0B
2026-05-18 15:24:42,5,37.35,129.7MB,34068.5,0.39,206.8MB / 7.997MB,0B / 0B
2026-05-18 15:24:54,5,38.12,130.3MB,34068.5,0.39,217.2MB / 8.396MB,0B / 0B
2026-05-18 15:25:06,5,38.94,130.7MB,34068.5,0.39,227.6MB / 8.796MB,0B / 0B
2026-05-18 15:25:18,5,39.62,130.5MB,34068.5,0.39,238MB / 9.191MB,0B / 0B
2026-05-18 15:25:30,5,40.30,130.9MB,34068.5,0.39,248.3MB / 9.586MB,0B / 0B
2026-05-18 15:25:42,6,40.93,130.2MB,34068.5,0.39,258.6MB / 9.982MB,0B / 0B
2026-05-18 15:25:54,6,41.55,130.3MB,34068.5,0.39,269MB / 10.38MB,0B / 0B
2026-05-18 15:26:06,6,42.20,131.1MB,34068.5,0.39,279.4MB / 10.78MB,0B / 0B
2026-05-18 15:26:18,6,42.70,130.2MB,34068.5,0.39,289.9MB / 11.18MB,0B / 0B
2026-05-18 15:26:30,6,43.21,130.6MB,34068.5,0.39,300.3MB / 11.58MB,0B / 0B
2026-05-18 15:26:42,7,43.70,130.5MB,34068.5,0.39,310.7MB / 11.98MB,0B / 0B
2026-05-18 15:26:54,7,44.11,131.2MB,34068.5,0.39,321.2MB / 12.38MB,0B / 0B
2026-05-18 15:27:06,7,44.58,130.8MB,34068.5,0.39,331.6MB / 12.78MB,0B / 0B
2026-05-18 15:27:18,7,44.98,130.5MB,34068.5,0.39,342.1MB / 13.18MB,0B / 0B
2026-05-18 15:27:30,7,45.45,130.9MB,34068.5,0.39,352.5MB / 13.58MB,0B / 0B
2026-05-18 15:27:42,8,45.84,131.2MB,34068.5,0.39,363.2MB / 13.98MB,0B / 0B
2026-05-18 15:27:54,8,46.25,131.2MB,34068.5,0.39,373.7MB / 14.39MB,0B / 0B
2026-05-18 15:28:07,8,46.64,131MB,34068.5,0.39,384.1MB / 14.79MB,0B / 0B
2026-05-18 15:28:19,8,47.08,131.8MB,34068.5,0.40,394.4MB / 15.18MB,0B / 0B
2026-05-18 15:28:31,8,47.44,132.6MB,34068.5,0.40,404.8MB / 15.58MB,0B / 0B
2026-05-18 15:28:43,9,47.75,132.9MB,34068.5,0.40,415.4MB / 15.98MB,0B / 0B
2026-05-18 15:28:55,9,48.07,132.5MB,34068.5,0.40,425.7MB / 16.38MB,0B / 0B
2026-05-18 15:29:07,9,48.47,133.6MB,34068.5,0.40,436.2MB / 16.78MB,0B / 0B
2026-05-18 15:29:19,9,48.74,132.9MB,34068.5,0.40,446.5MB / 17.18MB,0B / 0B
2026-05-18 15:29:31,9,49.03,132.7MB,34068.5,0.40,457MB / 17.58MB,0B / 0B
2026-05-18 15:29:43,10,49.39,101.4MB,34068.5,0.30,467.9MB / 18MB,0B / 0B
2026-05-18 15:29:56,10,49.65,100.3MB,34068.5,0.30,478.3MB / 18.4MB,0B / 0B
