timestamp,elapsed_min,gc_collected_gen0,gc_collected_gen1,gc_collected_gen2,gc_uncollectable_gen0,gc_uncollectable_gen1,gc_uncollectable_gen2,gc_collections_gen0,gc_collections_gen1,gc_collections_gen2,process_rss_bytes,process_vm_bytes,process_cpu_seconds,open_fds,ccx_received,ccx_failures_ocp,ccx_processed_ocp,ccx_published_ocp,broker_instances,broker_exceptions,broker_tracebacks
2026-05-18 15:19:42,0,1509.0,880.0,89.0,0.0,0.0,0.0,195.0,17.0,1.0,7.6427264e+07,1.237229568e+09,0.8,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18 15:19:54,0,1509.0,880.0,89.0,0.0,0.0,0.0,195.0,17.0,1.0,7.6427264e+07,1.237229568e+09,0.8200000000000001,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18 15:20:06,0,1509.0,880.0,89.0,0.0,0.0,0.0,195.0,17.0,1.0,7.6427264e+07,1.237229568e+09,0.8300000000000001,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18 15:20:18,0,1509.0,880.0,89.0,0.0,0.0,0.0,195.0,17.0,1.0,7.6427264e+07,1.237229568e+09,0.8500000000000001,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18 15:20:30,0,1509.0,880.0,89.0,0.0,0.0,0.0,195.0,17.0,1.0,7.6427264e+07,1.237229568e+09,0.87,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18 15:20:42,1,1509.0,880.0,89.0,0.0,0.0,0.0,195.0,17.0,1.0,7.6427264e+07,1.237229568e+09,0.89,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18 15:20:54,1,4323.0,161666.0,29572.0,0.0,0.0,0.0,495.0,45.0,3.0,1.0514432e+08,1.25589504e+09,7.789999999999999,30.0,85.0,0.0,84.0,84.0,1.0,0.0,0.0
2026-05-18 15:21:06,1,7699.0,349226.0,125948.0,0.0,0.0,0.0,793.0,72.0,6.0,1.05406464e+08,1.25589504e+09,15.29,31.0,183.0,0.0,182.0,182.0,1.0,0.0,0.0
2026-05-18 15:21:18,1,11061.0,539481.0,190218.0,0.0,0.0,0.0,1089.0,99.0,8.0,1.05537536e+08,1.25589504e+09,22.270000000000003,30.0,283.0,0.0,282.0,282.0,1.0,0.0,0.0
2026-05-18 15:21:30,1,14548.0,724261.0,281206.0,0.0,0.0,0.0,1386.0,125.0,11.0,1.05537536e+08,1.25589504e+09,28.98,29.0,381.0,0.0,381.0,381.0,1.0,0.0,0.0
2026-05-18 15:21:42,2,17895.0,917197.0,342801.0,0.0,0.0,0.0,1674.0,152.0,13.0,1.05537536e+08,1.25589504e+09,35.64,30.0,479.0,0.0,478.0,478.0,1.0,0.0,0.0
2026-05-18 15:21:54,2,21341.0,1.107371e+06,436496.0,0.0,0.0,0.0,1970.0,179.0,16.0,1.05668608e+08,1.25589504e+09,42.22,35.0,578.0,0.0,577.0,577.0,1.0,0.0,0.0
2026-05-18 15:22:06,2,24732.0,1.292241e+06,500734.0,0.0,0.0,0.0,2266.0,205.0,18.0,1.05930752e+08,1.25589504e+09,49.1,30.0,677.0,0.0,676.0,676.0,1.0,0.0,0.0
2026-05-18 15:22:18,2,28213.0,1.490472e+06,564972.0,0.0,0.0,0.0,2563.0,233.0,20.0,1.05930752e+08,1.25589504e+09,56.35,35.0,776.0,0.0,775.0,775.0,1.0,0.0,0.0
2026-05-18 15:22:30,2,31566.0,1.678017e+06,658673.0,0.0,0.0,0.0,2853.0,259.0,23.0,1.05930752e+08,1.25589504e+09,62.879999999999995,30.0,874.0,0.0,873.0,873.0,1.0,0.0,0.0
